continent,location,date,total_cases_per_million,total_deaths
Europe,Montenegro,2023-02-16,458064.496,2800
North America,Montserrat,2023-02-16,317924.315,8
Africa,Morocco,2023-02-16,33967.692,16296
Africa,Mozambique,2023-02-16,7061.644,2237
Asia,Myanmar,2023-02-16,11699.613,19490
Africa,Namibia,2023-02-16,66637.086,4090
Oceania,Nauru,2023-02-16,403514.301,1
Asia,Nepal,2023-02-16,32772.639,12020
Europe,Netherlands,2023-02-16,489568.789,23081
Oceania,New Caledonia,2023-02-16,275925.217,314
Oceania,New Zealand,2023-02-16,424340.476,2513
North America,Nicaragua,2023-02-16,2249.009,245
Africa,Niger,2023-02-16,362.79,315
Africa,Nigeria,2023-02-16,1219.28,3155
Asia,North Korea,2023-02-16,0.038,6
Europe,North Macedonia,2023-02-16,165615.211,9653
Europe,Norway,2023-02-16,272073.583,5152
Asia,Oman,2023-02-16,87286.454,4628
Asia,Pakistan,2023-02-16,6685.639,30641
Oceania,Palau,2023-02-16,331121.433,9
Asia,Palestine,2023-02-16,133946.251,5708
North America,Panama,2023-02-16,233784.469,8600
Oceania,Papua New Guinea,2023-02-16,4613.401,670
South America,Paraguay,2023-02-16,118982.501,19843
South America,Peru,2023-02-16,131700.918,219311
Asia,Philippines,2023-02-16,35264.001,65999
Europe,Poland,2023-02-16,160475.773,118809
Europe,Portugal,2023-02-16,541990.605,26117
Asia,Qatar,2023-02-16,183018.562,686
Europe,Romania,2023-02-16,169436.861,67650
Europe,Russia,2023-02-16,150720.592,387725
Africa,Rwanda,2023-02-16,9666.319,1468
Africa,Saint Helena,2023-02-16,401036.845,NA
North America,Saint Kitts and Nevis,2023-02-16,138336.025,46
North America,Saint Lucia,2023-02-16,166129.247,409
North America,Saint Pierre and Miquelon,2023-02-16,586576.041,2
North America,Saint Vincent and the Grenadines,2023-02-16,92238.286,123
Oceania,Samoa,2023-02-16,73753.316,29
Europe,San Marino,2023-02-16,697358.267,122
Africa,Sao Tome and Principe,2023-02-16,27617.385,77
Asia,Saudi Arabia,2023-02-16,22763.52,9598
Africa,Senegal,2023-02-16,5134.424,1971
Europe,Serbia,2023-02-16,361297.245,17754
Africa,Seychelles,2023-02-16,472908.013,172
Africa,Sierra Leone,2023-02-16,901.726,126
Asia,Singapore,2023-02-16,394180.828,1722
Europe,Slovakia,2023-02-16,471893.37,20991
Europe,Slovenia,2023-02-16,624985.435,7065
Oceania,Solomon Islands,2023-02-16,33930.623,153
Africa,Somalia,2023-02-16,1552.72,1361
Africa,South Africa,2023-02-16,67787.84,102595
Asia,South Korea,2023-02-16,586860.597,33832
Africa,South Sudan,2023-02-16,1683.104,138
Europe,Spain,2023-02-16,289094.06,118976
Asia,Sri Lanka,2023-02-16,30781.073,16829
Africa,Sudan,2023-02-16,1360.557,5011
South America,Suriname,2023-02-16,133043.495,1400
Europe,Sweden,2023-02-16,255670.658,23634
Europe,Switzerland,2023-02-16,504529.79,14202
Asia,Syria,2023-02-16,2597.079,3164
Asia,Taiwan,2023-02-16,413455.166,17319
Asia,Tajikistan,2023-02-16,1787.037,125
Africa,Tanzania,2023-02-16,653.076,846
Asia,Thailand,2023-02-16,65938.971,33894
Asia,Timor,2023-02-16,17459.207,138
Africa,Togo,2023-02-16,4448.563,290
Oceania,Tonga,2023-02-16,157214.107,13
North America,Trinidad and Tobago,2023-02-16,123125.869,4336
Africa,Tunisia,2023-02-16,93120.362,29326
Asia,Turkey,2023-02-16,199700.876,101492
North America,Turks and Caicos Islands,2023-02-16,143266.413,38
Oceania,Tuvalu,2023-02-16,247463.608,NA
Africa,Uganda,2023-02-16,3607.735,3630
Europe,Ukraine,2023-02-16,143382.719,119139
Asia,United Arab Emirates,2023-02-16,111293.363,2348
Europe,United Kingdom,2023-02-16,360568.785,218405
North America,United States,2023-02-16,304684.912,1116773
South America,Uruguay,2023-02-16,302023.842,7617
Asia,Uzbekistan,2023-02-16,7244.211,1637
Oceania,Vanuatu,2023-02-16,36768.847,14
Europe,Vatican,2023-02-16,35891.089,NA
South America,Venezuela,2023-02-16,19500.101,5851
Asia,Vietnam,2023-02-16,117396.426,43186
Oceania,Wallis and Futuna,2023-02-16,295532.942,7
Asia,Yemen,2023-02-16,354.487,2159
Africa,Zambia,2023-02-16,17100.741,4051
Africa,Zimbabwe,2023-02-16,16154.001,5662
