"country","year","ciri","cow","polity","unctry","unreg","unsubreg","human_rights_score","physint_sum","repression_sum","civpol_sum","workerrights_practices_sum","workerrights_laws_sum","disap","kill","polpris","tort","bbatrocity","bbatrocity_intensity","assn","formov","dommov","speech","elecsd","rel_free","wecon","wopol","wosoc_p","union_p","barg_p","hour_p","force_p","child_p","wage_p","safe_p","trafficking_p","injud","ngo_freedom","trial_p","wosoc_l","union_l","barg_l","hour_l","force_l","child_l","wage_l","safe_l","trafficking_l","trial_l"
"Germany",2021,299,255,260,276,150,155,NA,7,NA,NA,9,10,2,2,2,1,0,NA,2,NA,1,2,2,NA,NA,NA,3,2,1,1,1,1,1,2,NA,2,3,3,3,2,1,1,2,1,1,2,NA,3
"Argentina",2021,119,160,160,32,419,5,NA,4,NA,NA,7,10,1,1,2,0,0,NA,1,NA,1,1,2,NA,NA,NA,3,1,1,1,1,1,1,1,NA,1,3,0,3,1,2,1,2,2,1,1,NA,1
"Laos",2021,386,812,812,418,142,35,NA,5,NA,NA,4,6,2,1,1,1,0,NA,1,NA,1,0,0,NA,NA,NA,0,0,0,0,1,1,1,1,NA,0,1,0,3,0,0,1,2,1,1,1,NA,0
"Moldova",2021,449,359,359,498,150,151,NA,4,NA,NA,5,7,2,2,0,0,0,NA,1,NA,2,0,0,NA,NA,NA,2,1,1,1,1,1,0,0,NA,0,2,1,2,1,1,1,1,1,1,1,NA,2
"Sweden",2021,608,380,380,752,150,154,NA,8,NA,NA,11,12,2,2,2,2,0,NA,2,NA,2,2,2,NA,NA,NA,3,2,2,1,1,1,2,2,NA,2,3,3,3,2,2,1,2,1,2,2,NA,3
"Sri Lanka",2021,596,780,780,144,142,62,NA,3,NA,NA,4,6,1,1,1,0,0,NA,0,NA,1,1,1,NA,NA,NA,0,0,0,1,1,1,1,0,NA,0,1,2,0,1,0,1,1,1,2,0,NA,2
"Taiwan",2021,617,713,713,NA,142,30,NA,8,NA,NA,6,8,2,2,2,2,0,NA,2,NA,2,2,2,NA,NA,NA,2,1,1,1,1,1,0,1,NA,2,3,3,3,1,1,1,1,1,1,2,NA,3
"United Kingdom",2021,659,200,200,826,150,154,NA,7,NA,NA,10,10,2,1,2,2,0,NA,2,NA,2,2,2,NA,NA,NA,3,1,0,1,2,2,2,2,NA,2,3,2,3,1,0,1,2,2,2,2,NA,3
"Guinea",2021,314,438,438,324,2,11,NA,3,NA,NA,NA,5,2,0,1,0,1,1,1,NA,2,0,0,NA,NA,NA,0,0,NA,0,0,0,0,0,NA,0,2,0,0,2,1,0,0,0,1,1,NA,2
"India",2021,335,750,750,356,142,62,NA,2,NA,NA,NA,8,1,0,1,0,1,1,1,NA,1,1,1,NA,NA,NA,0,1,NA,1,0,0,0,0,NA,1,1,1,0,1,1,1,1,1,2,1,NA,2
"Sudan",2021,599,625,625,736,2,15,NA,1,NA,NA,2,6,1,0,0,0,1,2,0,NA,1,0,1,NA,NA,NA,0,0,0,0,1,1,0,0,NA,2,1,0,0,0,0,2,1,2,1,0,NA,0
"Fiji",2021,281,950,950,242,9,54,NA,7,NA,NA,5,8,2,2,2,1,0,NA,2,NA,1,2,2,NA,NA,NA,1,1,1,1,1,1,0,0,NA,1,2,2,3,1,1,1,2,1,1,1,NA,2
"Israel",2021,350,666,666,376,142,145,NA,3,NA,NA,NA,11,2,0,1,0,1,1,0,NA,0,1,0,NA,NA,NA,1,1,NA,1,1,2,1,1,NA,2,0,1,3,1,1,2,2,2,2,1,NA,3
"Finland",2021,284,375,375,246,150,154,NA,8,NA,NA,14,14,2,2,2,2,0,NA,2,NA,2,2,2,NA,NA,NA,3,2,2,2,2,2,2,2,NA,2,3,3,3,2,2,2,2,2,2,2,NA,3
"Kiribati",2021,371,946,946,296,9,57,NA,8,NA,NA,NA,11,2,2,2,2,0,NA,2,NA,2,2,2,NA,NA,NA,2,2,NA,2,1,0,0,2,NA,2,3,2,2,2,2,2,1,0,2,2,NA,3
"Georgia",2021,296,372,372,268,142,145,NA,4,NA,NA,6,10,1,2,1,0,0,NA,1,NA,1,1,1,NA,NA,NA,2,0,0,1,1,2,1,1,NA,1,2,0,3,1,1,1,2,2,1,2,NA,1
"Peru",2021,512,135,135,604,419,5,NA,7,NA,NA,2,8,2,2,2,1,0,NA,1,NA,1,1,1,NA,NA,NA,2,1,0,0,0,0,1,0,NA,1,1,0,2,1,1,1,2,1,2,0,NA,2
