"country","year","ciri","cow","polity","unctry","unreg","unsubreg","human_rights_score","physint_sum","repression_sum","civpol_sum","workerrights_practices_sum","workerrights_laws_sum","disap","kill","polpris","tort","bbatrocity","bbatrocity_intensity","assn","formov","dommov","speech","elecsd","rel_free","wecon","wopol","wosoc_p","union_p","barg_p","hour_p","force_p","child_p","wage_p","safe_p","trafficking_p","injud","ngo_freedom","trial_p","wosoc_l","union_l","barg_l","hour_l","force_l","child_l","wage_l","safe_l","trafficking_l","trial_l"
"Nicaragua",2021,482,93,93,558,419,13,NA,2,NA,NA,1,6,1,1,0,0,0,NA,0,NA,1,0,0,NA,NA,NA,3,0,0,0,1,0,0,0,NA,0,1,0,3,0,0,1,2,2,1,0,NA,0
"Cape Verde",2021,197,402,402,132,2,11,NA,7,NA,NA,12,13,2,2,2,1,0,NA,2,NA,2,2,2,NA,NA,NA,2,2,1,2,2,2,2,1,NA,2,3,2,3,2,1,2,2,2,2,2,NA,2
"Sao Tome and Principe",2021,551,403,403,678,2,17,NA,7,NA,NA,4,8,2,1,2,2,0,NA,2,NA,2,2,2,NA,NA,NA,1,0,0,0,2,1,1,0,NA,0,2,3,3,0,0,2,2,2,2,0,NA,2
"Guyana",2021,320,110,110,328,419,5,NA,7,NA,NA,NA,10,2,1,2,2,0,NA,2,NA,1,2,2,NA,NA,NA,1,1,NA,0,1,1,0,1,NA,1,2,2,3,1,1,2,2,1,2,1,NA,2
"Canada",2021,194,20,20,124,21,21,NA,7,NA,NA,10,12,2,2,2,1,0,NA,2,NA,2,2,2,NA,NA,NA,3,2,1,1,2,2,1,1,NA,2,3,3,3,2,2,1,2,2,1,2,NA,3
"Seychelles",2021,566,591,591,690,2,14,NA,8,NA,NA,2,9,2,2,2,2,0,NA,2,NA,1,2,1,NA,NA,NA,3,0,0,0,1,0,1,0,NA,2,3,3,3,1,1,2,2,1,2,0,NA,3
"Kosovo",2021,699,347,341,383,150,39,NA,7,NA,NA,5,10,2,2,2,1,0,NA,1,NA,2,1,0,NA,NA,NA,1,1,1,0,1,1,1,0,NA,0,3,3,3,2,2,1,2,1,2,0,NA,3
"Cambodia",2021,188,811,811,116,142,35,NA,4,NA,NA,3,8,1,2,1,0,0,NA,0,NA,2,0,0,NA,NA,NA,1,0,0,0,1,1,0,1,NA,0,0,0,3,1,1,2,1,1,1,1,NA,1
"Liberia",2021,398,450,450,430,2,11,NA,5,NA,NA,5,5,1,1,2,1,0,NA,1,NA,1,0,0,NA,NA,NA,1,1,1,1,0,0,2,0,NA,0,3,0,1,1,1,1,0,0,2,0,NA,3
"Portugal",2021,521,235,235,620,150,39,NA,7,NA,NA,10,12,2,2,2,1,0,NA,2,NA,2,2,2,NA,NA,NA,3,1,1,2,1,1,2,2,NA,2,3,3,3,1,1,2,2,2,2,2,NA,3
"Somalia",2021,584,520,520,706,2,14,NA,1,NA,NA,1,4,1,0,0,0,1,2,1,NA,1,1,0,NA,NA,NA,0,1,0,0,0,0,0,0,NA,0,1,0,0,1,1,1,1,0,0,0,NA,1
"San Marino",2021,548,331,331,674,150,39,NA,8,NA,NA,12,12,2,2,2,2,0,NA,2,NA,2,2,2,NA,NA,NA,3,2,1,2,2,2,2,1,NA,2,3,3,3,2,1,2,2,2,2,1,NA,3
"Eritrea",2021,272,531,531,232,2,14,NA,4,NA,NA,2,3,1,2,1,0,0,NA,1,NA,2,0,0,NA,NA,NA,2,1,1,0,0,0,0,0,NA,0,0,0,3,1,1,1,0,0,0,0,NA,0
"Zambia",2021,695,551,551,894,2,14,NA,6,NA,NA,3,7,2,1,2,1,0,NA,1,NA,1,1,0,NA,NA,NA,1,1,1,0,1,0,0,0,NA,1,2,0,1,1,1,1,1,1,2,0,NA,1
"Indonesia",2021,338,850,850,360,142,35,NA,2,NA,NA,2,6,1,0,1,0,1,1,1,NA,1,1,2,NA,NA,NA,0,0,0,1,1,0,0,0,NA,0,1,1,1,0,0,1,2,0,2,1,NA,1
"Central African Republic",2021,200,482,482,140,2,17,NA,3,NA,NA,4,8,1,0,2,0,1,1,1,NA,1,1,1,NA,NA,NA,1,1,1,0,1,1,0,0,NA,0,3,0,1,1,1,1,2,1,1,1,NA,3
"Congo, Republic of",2021,221,484,484,178,2,17,NA,4,NA,NA,2,6,2,1,0,1,0,NA,1,NA,1,1,0,NA,NA,NA,2,1,1,0,0,0,0,0,NA,0,1,0,2,1,1,2,0,1,0,1,NA,2
"Belize",2021,152,80,80,84,419,13,NA,6,NA,NA,4,10,2,1,2,1,0,NA,2,NA,2,2,1,NA,NA,NA,2,0,0,0,1,0,2,1,NA,2,3,1,3,1,1,1,2,1,2,2,NA,1
"Dominica",2021,251,54,54,212,419,29,NA,7,NA,NA,5,8,2,1,2,2,0,NA,2,NA,1,2,2,NA,NA,NA,2,2,1,0,1,0,1,0,NA,1,2,2,3,2,1,1,1,1,1,1,NA,3
"Turkey",2021,641,640,640,792,142,145,NA,1,NA,NA,4,7,1,0,0,0,1,2,0,NA,1,1,1,NA,NA,NA,1,0,0,1,1,1,1,0,NA,0,0,0,3,1,1,1,1,1,2,0,NA,0
"Djibouti",2021,248,522,522,262,2,14,NA,5,NA,NA,4,8,1,1,2,1,0,NA,0,NA,1,0,0,NA,NA,NA,1,1,0,1,1,0,1,0,NA,0,1,0,1,1,1,2,2,0,1,1,NA,1
"Brazil",2021,170,140,140,76,419,5,NA,4,NA,NA,6,8,2,0,2,0,1,1,1,NA,1,1,1,NA,NA,NA,3,1,1,1,1,1,0,1,NA,1,3,0,3,1,1,1,1,1,2,1,NA,3
"Malaysia",2021,422,820,820,458,142,35,NA,5,NA,NA,3,6,2,1,2,0,0,NA,1,NA,2,1,0,NA,NA,NA,0,0,0,1,1,0,1,0,NA,1,1,1,1,1,1,1,1,1,1,0,NA,3
"Belarus",2021,146,370,370,112,150,151,NA,3,NA,NA,5,8,1,2,0,0,0,NA,0,NA,1,0,0,NA,NA,NA,2,0,0,1,0,2,2,0,NA,0,1,0,3,0,1,1,1,2,2,1,NA,0
"Australia",2021,125,900,900,36,9,53,NA,8,NA,NA,12,12,2,2,2,2,0,NA,2,NA,2,2,2,NA,NA,NA,3,2,1,2,2,1,2,2,NA,2,3,1,3,2,1,2,2,1,2,2,NA,3
"Malta",2021,431,338,338,470,150,39,NA,8,NA,NA,11,12,2,2,2,2,0,NA,2,NA,2,2,2,NA,NA,NA,3,2,2,1,1,2,2,1,NA,2,3,3,3,2,2,1,2,2,2,1,NA,3
"Palau",2021,500,986,986,585,9,57,NA,8,NA,NA,6,6,2,2,2,2,0,NA,2,NA,2,2,2,NA,NA,NA,2,1,1,1,1,2,0,0,NA,2,3,3,3,1,1,1,1,2,0,0,NA,3
"Bahrain",2021,137,692,692,48,142,145,NA,4,NA,NA,4,6,2,2,0,0,0,NA,0,NA,0,0,0,NA,NA,NA,0,0,0,0,0,2,1,1,NA,1,0,1,0,0,0,1,1,2,1,1,NA,0
"Grenada",2021,308,55,55,308,419,29,NA,7,NA,NA,9,8,2,2,2,1,0,NA,1,NA,1,1,1,NA,NA,NA,3,1,1,1,2,1,1,2,NA,2,3,2,3,1,1,1,1,1,1,2,NA,3
"Lithuania",2021,407,368,368,440,150,154,NA,8,NA,NA,9,13,2,2,2,2,0,NA,2,NA,2,2,2,NA,NA,NA,3,1,0,2,1,2,2,1,NA,2,3,3,3,2,1,2,2,2,2,2,NA,3
"Togo",2021,629,461,461,768,2,11,NA,5,NA,NA,3,7,2,2,0,1,0,NA,1,NA,2,1,1,NA,NA,NA,0,1,1,0,1,0,0,0,NA,1,1,1,0,1,1,1,1,1,2,0,NA,2
"Rwanda",2021,533,517,517,646,2,14,NA,2,NA,NA,3,4,1,1,0,0,0,NA,1,NA,1,0,0,NA,NA,NA,2,0,0,1,1,1,0,0,NA,1,1,0,3,0,0,1,2,1,0,0,NA,2
"Mexico",2021,443,70,70,484,419,13,NA,3,NA,NA,4,10,0,0,2,1,1,1,1,NA,1,1,0,NA,NA,NA,2,0,0,1,1,1,1,0,NA,0,2,0,3,1,2,1,2,2,1,1,NA,1
"Armenia",2021,122,371,371,51,142,145,NA,3,NA,NA,2,10,1,0,2,0,1,1,1,NA,2,1,1,NA,NA,NA,2,0,0,0,1,1,0,0,NA,0,1,0,3,1,1,1,2,2,2,1,NA,0
"Guatemala",2021,311,90,90,320,419,13,NA,4,NA,NA,2,5,1,0,2,1,0,NA,1,NA,1,1,1,NA,NA,NA,2,0,0,0,1,1,0,0,NA,0,0,1,3,1,0,1,1,1,1,0,NA,2
"Angola",2021,113,540,540,17,2,17,NA,4,NA,NA,5,7,1,1,1,1,0,NA,1,NA,1,1,1,NA,NA,NA,1,1,0,1,1,1,1,0,NA,1,1,0,2,1,0,1,2,1,1,1,NA,0
"Colombia",2021,212,100,100,170,419,5,NA,4,NA,NA,4,8,1,1,1,1,0,NA,1,NA,2,1,1,NA,NA,NA,1,0,0,1,1,1,1,0,NA,1,1,1,1,1,1,1,1,1,2,1,NA,1
"Cote d'Ivoire",2021,227,437,437,384,2,11,NA,3,NA,NA,2,8,1,1,0,1,0,NA,1,NA,2,1,0,NA,NA,NA,1,1,0,1,0,0,0,0,NA,0,3,0,1,1,0,1,1,1,2,2,NA,1
"Netherlands",2021,476,210,210,528,150,155,NA,8,NA,NA,13,13,2,2,2,2,0,NA,1,NA,1,2,2,NA,NA,NA,3,2,2,2,1,2,2,2,NA,2,3,1,3,2,2,1,2,2,2,2,NA,3
"Burma",2021,182,775,775,104,142,35,NA,2,NA,NA,2,7,1,1,0,0,0,NA,0,NA,0,0,0,NA,NA,NA,1,0,0,0,0,0,2,0,NA,0,0,0,2,0,1,1,1,1,2,1,NA,0
"Jordan",2021,362,663,663,400,142,145,NA,4,NA,NA,0,6,2,1,1,0,0,NA,0,NA,1,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,1,1,0,0,0,0,1,0,2,2,1,NA,1
"Congo, Democratic Republic of",2021,218,490,490,180,2,17,NA,3,NA,NA,1,4,1,1,1,0,0,NA,0,NA,1,1,0,NA,NA,NA,1,0,0,0,1,0,0,0,NA,0,0,0,1,0,0,0,1,1,1,1,NA,1
"Comoros",2021,215,581,581,174,2,14,NA,5,NA,NA,3,7,2,1,1,1,0,NA,1,NA,1,1,1,NA,NA,NA,2,0,1,0,0,1,1,0,NA,1,3,2,3,1,1,1,1,1,1,1,NA,2
"United States of America",2021,662,2,2,840,21,21,NA,NA,NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,NA,NA,1,NA,NA,1,1,1,1,1,1,2,NA,NA
"Yemen",2021,680,679,679,887,142,145,NA,1,NA,NA,1,7,1,0,0,0,1,2,0,NA,1,0,0,NA,NA,NA,0,0,0,0,0,1,0,0,NA,0,0,0,0,1,1,1,1,1,2,0,NA,1
"Saint Lucia",2021,539,56,56,662,419,29,NA,8,NA,NA,7,9,2,2,2,2,0,NA,2,NA,2,2,2,NA,NA,NA,2,1,1,1,1,1,1,1,NA,2,3,3,3,1,1,2,1,1,1,2,NA,3
"South Africa",2021,587,560,560,710,2,18,NA,4,NA,NA,7,9,2,0,2,0,1,1,1,NA,1,1,1,NA,NA,NA,0,2,1,1,1,1,1,0,NA,1,2,1,1,2,1,1,1,2,2,0,NA,2
"Dominican Republic",2021,254,42,42,214,419,29,NA,5,NA,NA,3,6,2,0,2,1,0,NA,1,NA,1,2,0,NA,NA,NA,2,1,0,0,0,1,1,0,NA,1,1,0,3,1,1,1,0,1,1,1,NA,3
"Austria",2021,128,305,305,40,150,155,NA,7,NA,NA,10,12,2,2,2,1,0,NA,2,NA,2,2,2,NA,NA,NA,3,2,2,1,2,1,1,1,NA,2,3,3,3,2,2,1,2,1,2,2,NA,3
"Panama",2021,503,95,95,591,419,13,NA,8,NA,NA,5,8,2,2,2,2,0,NA,2,NA,2,1,1,NA,NA,NA,3,0,0,1,1,0,2,1,NA,0,2,1,3,1,1,1,1,1,2,1,NA,2
"Uganda",2021,650,500,500,800,2,14,NA,2,NA,NA,2,5,0,1,1,0,0,NA,1,NA,1,0,0,NA,NA,NA,0,0,0,0,1,1,0,0,NA,0,0,0,0,1,1,1,1,1,0,0,NA,0
"Slovenia",2021,578,349,349,705,150,39,NA,8,NA,NA,8,11,2,2,2,2,0,NA,2,NA,2,1,2,NA,NA,NA,3,1,1,1,1,1,2,1,NA,2,3,2,3,1,1,1,2,2,2,2,NA,3
"United Arab Emirates",2021,656,696,696,784,142,145,NA,5,NA,NA,3,5,1,2,1,1,0,NA,1,NA,2,0,0,NA,NA,NA,0,0,0,1,0,1,0,1,NA,0,1,0,0,0,0,1,1,1,0,2,NA,2
"Kazakhstan",2021,365,705,705,398,142,62,NA,4,NA,NA,NA,8,2,1,1,0,0,NA,0,NA,0,0,0,NA,NA,NA,1,0,NA,1,0,0,2,1,NA,0,1,0,3,1,1,2,0,1,2,1,NA,1
"Latvia",2021,389,367,367,428,150,154,NA,8,NA,NA,9,9,2,2,2,2,0,NA,2,NA,2,2,2,NA,NA,NA,3,1,1,1,2,1,2,1,NA,2,3,3,3,1,1,1,2,1,2,1,NA,3
"Afghanistan",2021,101,700,700,4,142,62,NA,3,NA,NA,1,5,1,1,0,1,0,NA,0,NA,1,1,0,NA,NA,NA,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,1,2,0,1,1,0,NA,0
"Paraguay",2021,509,150,150,600,419,5,NA,7,NA,NA,4,9,2,2,2,1,0,NA,1,NA,2,1,1,NA,NA,NA,1,0,1,0,1,0,1,1,NA,0,3,0,3,1,1,1,2,2,1,1,NA,2
"Tonga",2021,632,955,955,776,9,61,NA,8,NA,NA,1,3,2,2,2,2,0,NA,2,NA,2,2,1,NA,NA,NA,1,0,0,0,0,0,1,0,NA,0,3,1,2,1,0,1,0,0,1,0,NA,2
"Costa Rica",2021,224,94,94,188,419,13,NA,8,NA,NA,8,11,2,2,2,2,0,NA,2,NA,2,2,2,NA,NA,NA,3,1,1,1,2,1,1,1,NA,2,3,2,3,1,1,1,2,2,2,2,NA,2
"Monaco",2021,452,221,221,492,150,155,NA,8,NA,NA,12,12,2,2,2,2,0,NA,2,NA,2,2,1,NA,NA,NA,3,1,1,2,2,2,2,2,NA,2,2,3,3,1,1,2,2,2,2,2,NA,3
"China",2021,209,710,710,156,142,30,NA,1,NA,NA,4,9,0,1,0,0,0,NA,0,NA,0,0,0,NA,NA,NA,1,0,0,2,0,1,1,0,NA,0,0,0,2,0,1,2,1,2,1,2,NA,0
"Mongolia",2021,455,712,712,496,142,30,NA,7,NA,NA,4,8,2,2,2,1,0,NA,2,NA,1,2,2,NA,NA,NA,2,1,1,0,1,1,0,0,NA,0,2,0,3,1,1,2,1,1,2,0,NA,2
"Mali",2021,428,432,432,466,2,11,NA,1,NA,NA,2,6,0,0,1,0,1,2,1,NA,2,1,1,NA,NA,NA,0,0,0,1,1,0,0,0,NA,0,3,1,0,1,1,1,1,1,1,0,NA,2
"Nepal",2021,473,790,790,524,142,62,NA,4,NA,NA,4,6,1,1,2,0,0,NA,1,NA,1,1,2,NA,NA,NA,0,1,1,1,0,0,1,0,NA,0,1,0,2,1,1,1,1,1,1,0,NA,1
"Bhutan",2021,158,760,760,64,142,62,NA,8,NA,NA,11,12,2,2,2,2,0,NA,1,NA,1,2,2,NA,NA,NA,3,1,2,2,1,1,2,2,NA,1,1,1,3,1,2,2,1,2,2,2,NA,2
"Malawi",2021,419,553,553,454,2,14,NA,6,NA,NA,4,6,2,2,2,0,0,NA,2,NA,1,2,2,NA,NA,NA,1,1,1,0,1,0,1,0,NA,1,2,0,1,1,1,1,1,1,1,0,NA,2
"Albania",2021,104,339,339,8,150,39,NA,7,NA,NA,2,9,2,2,2,1,0,NA,2,NA,2,2,2,NA,NA,NA,2,1,0,0,1,0,0,0,NA,1,3,1,3,2,1,1,2,1,1,1,NA,1
"Azerbaijan",2021,131,373,373,31,142,145,NA,2,NA,NA,2,8,1,1,0,0,0,NA,0,NA,2,0,0,NA,NA,NA,2,1,0,0,0,1,0,0,NA,0,0,0,2,1,1,1,1,1,2,1,NA,0
"Burkina Faso",2021,179,439,439,854,2,11,NA,5,NA,NA,4,9,1,1,2,1,0,NA,1,NA,1,1,1,NA,NA,NA,1,0,1,1,1,1,0,0,NA,0,2,1,1,1,1,1,2,2,1,1,NA,1
"Korea, Democratic People's Republic of",2021,374,731,731,408,142,30,NA,0,NA,NA,2,3,0,0,0,0,1,3,0,NA,0,0,0,NA,NA,NA,1,0,0,1,0,0,0,1,NA,2,0,3,2,0,0,1,0,0,0,2,NA,3
"Kyrgyz Republic",2021,383,703,703,417,142,62,NA,3,NA,NA,NA,NA,1,1,1,0,0,NA,1,NA,2,1,1,NA,NA,NA,1,NA,NA,1,1,0,1,0,NA,0,1,0,3,NA,NA,2,2,2,1,0,NA,0
"Bahamas",2021,134,31,31,44,419,29,NA,7,NA,NA,8,11,2,2,2,1,0,NA,2,NA,2,2,2,NA,NA,NA,2,1,1,1,1,1,2,1,NA,2,3,1,2,1,1,2,2,2,2,1,NA,3
"Qatar",2021,524,694,694,634,142,145,NA,6,NA,NA,3,6,1,2,2,1,0,NA,1,NA,1,0,0,NA,NA,NA,0,0,0,0,0,2,0,1,NA,0,3,2,0,0,0,1,1,2,1,1,NA,2
"Saudi Arabia",2021,554,670,670,682,142,145,NA,1,NA,NA,5,5,1,0,0,0,1,2,0,NA,0,0,0,NA,NA,NA,0,0,0,1,0,1,2,1,NA,0,0,0,0,0,0,1,0,1,2,1,NA,0
